the_geom,Asset_ID,GI_ID,DEP_Contra,DEP_Cont_1,Row_Onsite,Project_Na,Asset_Type,Status,Asset_X_Co,Asset_Y_Co,Borough,Sewer_Type,Outfall,NYC_Waters,BBL,Secondary_,Community_,City_Counc,Assembly_D,Asset_Leng,Asset_Widt,Asset_Area,GI_Feature,Tree_Latin,Tree_Commo,Constructi,Construc_1,Program_Ar,Status_Gro
POINT (-73.91239659719025 40.646898247507984),184431,IB6013E,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROW Infiltration Basin with Concrete Top,In Construction,1008560.088,174971.0105,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3081160001,0,318,42,0,20,6,120,Type C - SW Chamber,No Tree,N/A,GKCI05-3A,2,Right of Way (ROW),In Construction
POINT (-73.82889107248552 40.68271513792956),94954,762A,GQJA03-02,2,ROW,DDC JAM-003 Phase 2,ROWB,Constructed (Full Maintenance),1031707.4958,188054.3074,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4095500001,0,410,28,24,10,5,50,Standard,No Tree,N/A,GCJA03-2B,Package-2,Right of Way (ROW),Constructed
POINT (-73.7807489107991 40.75890988057056),103384,1963A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWB,Constructed (Full Maintenance),1044990.34,215844.06,Queens,Combined,TI-010,Flushing Creek,4062600032,0,411,19,26,20,5,100,Standard,Malus 'Donald Wyman',Donald Wyman Crabapple,GCTI10-02,Package-3,Right of Way (ROW),Constructed
POINT (-73.86323901185571 40.8453432082146),97220,630C,GXHP07-03,2,ROW,EDC HP-007 Phase 2,ROWB,Constructed (Full Maintenance),1022088.5111,247288.2802,Bronx,Combined,HP-007,Bronx River,2040360041,0,211,13,80,13,4.5,58.5,Type C - SW Chamber,No Tree,N/A,GXHP07-03,2,Right of Way (ROW),Constructed
POINT (-73.94542601528053 40.6639318039223),183183,IB2008E,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),999390.5055,181169.36828,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3013230017,0,309,40,43,16,5,80,Type A - Stone Columns,No Tree,N/A,GKCI05-1A,1,Right of Way (ROW),Constructed
POINT (-73.88003271160729 40.75014157968837),156623,IB201D,GQBB05-04,4,ROW,OGI BB-005 (GI-DCM-TOC) Phase 4,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1017489.6,212596.23,Queens,Combined,BB-005,East River / Open Waters,4014740001,0,403,21,34,10,5,50,Type A - Stone Columns,No Tree,N/A,BB05-02-A,1,Right of Way (ROW),Constructed
POINT (-73.80861449652254 40.67353354450903),121277,2185a,GQJA03-03,3,ROW,DDC JAM-003 Phase 3,ROWB,Constructed (Full Maintenance),1037338.5559,184720.8329,Queens,Combined,JAM-003a,Jamaica Bay and Tributaries,4117510029,0,410,28,31,13,5,65,Standard,No Tree,N/A,GCJA03-3B,2,Right of Way (ROW),Constructed
POINT (-73.85448652235041 40.685834869853984),173638,IB2167A,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1024606.652,189178.085,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4090230030,0,409,32,38,13,5,65,Type C - SW Chamber,No Tree,N/A,53320022-05,5,Right of Way (ROW),Constructed
POINT (-73.92850989162841 40.666314833757546),175475,1025c,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROWB,Constructed (In Guarantee),1004082.85,182040.95,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3013980001,0,308,41,55,16,6,96,Type C - SW Chamber,No Tree,N/A,GKCI05-2A,1,Right of Way (ROW),Constructed
POINT (-73.74140619572077 40.70660788941256),103768,1325B,CSO-PLANYC,1,ROW,South East Queens Demonstration Area 1,ROWB,Constructed (Full Maintenance),1055945.8929,196818.6165,Queens,Combined,JAM-005,Jamaica Bay and Tributaries,4111440005,0,413,27,33,13,4,52,Standard,No Tree,N/A,,,Right of Way (ROW),Constructed
POINT (-73.9571836879411 40.70612425752863),183114,2-IB748a,GKNC14-06,2,ROW,DDC NCB-014,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),996121.0515,196539.4903,Brooklyn,Combined,NCB-014,East River / Open Waters,3021940040,0,301,33,50,13,4,52,Standard,No Tree,N/A,GNCB14-2A,Package_3,Right of Way (ROW),Constructed
POINT (-73.86168735595749 40.72021433357625),160396,0673B,OGI-DESIGN-2,3,ROW,OGI Design Area 2 (BB-006),ROWB,Constructed (Full Maintenance),1022589.8,201700.3,Queens,Combined,BB-006,Flushing Bay,4031350056,4031350058,406,30,28,15,4.5,67.5,Type A - Stone Columns,No Tree,N/A,OGI-DESIGN-2-GQBB06-03-01,Stage-1,Right of Way (ROW),Constructed
POINT (-73.92942481310754 40.741440705368646),149075,5146H,GQBB26-01,1,ROW,DDC BB Cluster (BB-026),ROWB,Constructed (Full Maintenance),1003806.98,209411.34,Queens,Combined,BB-026,Newtown Creek,4002290013,0,402,26,37,20,5,100,Standard,Ginkgo biloba,Ginkgo Tree,GCBB26-01,GCBB26-01,Right of Way (ROW),Constructed
POINT (-73.91442404767963 40.672317270204026),132597,107C,GK26W3-03,1,ROW,EDC 26W-003 (Fresh Creek) Phase 1,ROWB,Constructed (Full Maintenance),1007988.42,184231.31,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3014640040,0,316,41,55,18,5,90,Type A - Stone Columns,Liquidambar styraciflua,Sweetgum,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.86059360534384 40.86628118768913),183534,IB23B,GXHP07-03,2,ROW,EDC HP-007 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1022808.2912,254917.9334,Bronx,Combined,HP-007,Bronx River,2045150005,0,211,13,80,10,6,60,,,,GXHP07-03,2,Right of Way (ROW),Constructed
POINT (-73.87530936039863 40.76862560763382),182520,IB584E,GQBB05-05,5,ROW,OGI BB-005 (GI-DCM-TOC) Phase 5,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1018788.72236,219332.38685,Queens,Combined,BB-005,East River / Open Waters,4010710050,0,403,21,35,20,5,100,Type C - SW Chamber,No Tree,N/A,BB05-02-A,1,Right of Way (ROW),Constructed
POINT (-73.90877522938274 40.64163515078984),185569,IB4157D,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROW Infiltration Basin with Concrete Top,In Construction,1009567.02,173054.5474,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3079940012,0,318,46,0,11,4,44,Standard,No Tree,N/A,GKCI05-3A,3,Right of Way (ROW),In Construction
POINT (-73.91602532988246 40.68414494445742),157199,186c,GKNC15-02,2,ROW,EDC NCB-015 (English Kills) Phase 2,ROWB,Constructed (Full Maintenance),1007540.1,188540.04,Brooklyn,Combined,NCB-015,Newtown Creek,3015020022,0,316,41,55,10,5,50,Standard,Quercus acutissima,Sawtooth Oak,GKNC15-02,Phase-2-Stage-1,Right of Way (ROW),Constructed
POINT (-73.79483921609037 40.749270653025796),108650,3008d,GQTI10-01,1,ROW,DDC TI-010 Phase 1,ROWB,Constructed (Full Maintenance),1041095.05757,212322.73033,Queens,Combined,TI-010,Flushing Creek,4055780044,0,407,20,25,13,4,52,Standard,Transplant,N/A,GCTI10-1B,Package-1,Right of Way (ROW),Constructed
POINT (-73.88141140137296 40.760170211474005),120433,IB234C,GQBB05-05,5,ROW,OGI BB-005 (GI-DCM-TOC) Phase 5,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1017102.65712,216249.46285,Queens,Combined,BB-005,East River / Open Waters,4013850047,4013850045,403,25,34,12,4,48,Type A - Stone Columns,No Tree,N/A,BB05-02-A,1,Right of Way (ROW),Constructed
POINT (-73.90354272479262 40.83895781771444),188190,RG-1,BEPA_CPI_12,1,Onsite,Little Claremont Park,Rain Garden,Constructed,1010940,244947,Bronx,Combined,WIB-068,East River / Open Waters,2029030013,0,203,16,0,0,0,129.85,,,,,,Public Onsite,Constructed
POINT (-73.78589007136225 40.73291250706625),102262,678H,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWB,Constructed (Full Maintenance),1043589.21,206368.89,Queens,Combined,TI-010,Flushing Creek,4071150054,0,408,23,25,12,4,48,Standard,Quercus bicolor,Swamp White Oak,GCTI10-02,Package-1,Right of Way (ROW),Constructed
POINT (-73.82693482545251 40.67884669327298),94987,772A,GQJA03-02,2,ROW,DDC JAM-003 Phase 2,ROWB,Constructed (Full Maintenance),1032252.85,186645.99,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4116170002,0,410,28,31,10,5,50,Standard,Prunus cerasifera  'Crimson Point',Crimson Point Plum,GCJA03-2B,Package-2,Right of Way (ROW),Constructed
POINT (-73.93311867045851 40.64920919851908),173421,6058B,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROWB,Constructed (Full Maintenance),1002809.03716,175807.88238,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3049140017,3049140018,317,45,58,11,4.5,49.5,Standard,Koelreuteria paniculata 'Fastigiata',Fastigiata Goldenraintree,GKCI05-1A,2,Right of Way (ROW),Constructed
POINT (-73.88041850816927 40.86237806680783),149676,NYBG_F1,GXWI68-01,GR,Onsite,New York Botanic Garden,Permeable Pavers,Constructed,1017326.88401,253487.76991,Bronx,Combined,WIB-068,East River / Open Waters,2032720001,0,227,15,80,0,0,"2,630",,,,,,Incentivized,Constructed
POINT (-74.07628391027168 40.59618801181343),188751,HROS-03SS,GR-G-HROS,PI,Onsite,Holy Rosary School,Subsurface Storage,Constructed,963065,156493,Staten Island,MS4,OB-678,East River / Open Waters,5032470020,0,502,50,0,0,0,201,,,,,,Incentivized,Constructed
POINT (-73.87184493380907 40.6638286002672),182108,IB2656j,GK26W5-04,1,ROW,EDC 26W-005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1019804.21,181153.06,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3045250029,3045250001,305,42,60,10,5,50,Standard,No Tree,N/A,53320022-04,4,Right of Way (ROW),Constructed
POINT (-73.8974992779786 40.71008223430195),136413,560d,GQNC77-01,1,ROW,DDC NCQ-077,ROWB,Constructed (Full Maintenance),1012667.18024,197995.22502,Queens,Combined,NCQ-077,Newtown Creek,4036100045,0,405,30,37,10,5,50,Standard,No Tree,N/A,GCNC77-02,Phase-2,Right of Way (ROW),Constructed
POINT (-73.8049931856904 40.735343879744455),187924,IB1190d,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1038292.94,207242.35,Queens,Combined,TI-010,Flushing Creek,4067920600,0,408,24,0,10,4,40,Standard,No Tree,N/A,GCTI10-4B,Package-2,Right of Way (ROW),Constructed
POINT (-73.88477374193941 40.76132500701349),110118,307B,GQBB05-05,5,ROW,OGI BB-005 (GI-DCM-TOC) Phase 5,ROWB,Constructed (Full Maintenance),1016170.63334,216668.94923,Queens,Combined,BB-005,East River / Open Waters,4013810006,0,403,25,34,19,5,95,Type C - SW Chamber,No Tree,N/A,BB05-02-A,1,Right of Way (ROW),Constructed
POINT (-73.90983249024453 40.68279348057858),126180,0299a,GKNC15-02,1,ROW,EDC NCB-015 (English Kills) Phase 1,ROWB,Constructed (Full Maintenance),1009258.17,188049.37,Brooklyn,Combined,NCB-015,Newtown Creek,3034500009,0,304,37,54,17,5,85,Standard,Quercus bicolor,Swamp White Oak,GKNC15-02,Phase-1-Stage-1,Right of Way (ROW),Constructed
POINT (-73.80859107551373 40.718066746143194),187693,IB566b,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1037309.6,200945.57,Queens,Combined,TI-010,Flushing Creek,4067150008,0,408,24,0,13,4.5,58.5,Standard,No Tree,N/A,GCTI10-4B,Package-1,Right of Way (ROW),Constructed
POINT (-73.88314612044452 40.68178438586068),113441,1501A,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROWB,Constructed (Full Maintenance),1016660.184,187690.474,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,4088750021,0,305,37,54,13,4,52,Type A - Stone Columns,No Tree,N/A,53320022-02,3,Right of Way (ROW),Constructed
POINT (-73.88859993335805 40.66621081195512),182070,IB2028b,GK26W5-04,1,ROW,EDC 26W-005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1015154.75,182014.61,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3040740004,3040740005,305,42,60,11,4.5,49.5,Standard,No Tree,N/A,53320022-04,4,Right of Way (ROW),Constructed
POINT (-73.88048582187949 40.659865078158944),156595,BLVD-21SRa,GK26W4-01-OS1,1,Onsite,Boulevard Houses,Subsurface Storage,Constructed (Full Maintenance),1017408.93,179705.65,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,3043770001,0,305,42,60,50,10,500,,,,,,Public Onsite,Constructed
POINT (-73.89224498955963 40.6726913302655),181959,IB1258a,GK26W4-01,1,ROW,EDC 26W-004,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1014140.63,184374.38,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,3037240029,0,305,42,54,10,5,50,Standard,No Tree,N/A,53320022-01,2,Right of Way (ROW),Constructed
POINT (-73.83154651600108 40.68583223998765),183851,IB805A,GQJA03-02,2,ROW,DDC JAM-003 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1030968.819,189188.5284,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4095160001,0,410,29,24,13,4,52,Standard,No Tree,N/A,GCJA03-2B,Package-1,Right of Way (ROW),Constructed
POINT (-73.8222045397766 40.7320881825966),187907,IB1173d,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1033525.51,206046.05,Queens,Combined,TI-010,Flushing Creek,4066440014,0,408,24,0,12,4,48,Type A - Stone Columns,No Tree,N/A,GCTI10-4B,Package-2,Right of Way (ROW),Constructed
POINT (-73.86794469475895 40.69091229039469),182192,IB1167A,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1020871.3817,191022.0219,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4088990001,0,409,32,38,18,4,72,Type A - Stone Columns,No Tree,N/A,53320022-02,1,Right of Way (ROW),Constructed
POINT (-73.8445105126746 40.70864535318915),190905,UNIO-05MEDa,GQ-MED-UNIO,1,ROW,Median: Union Trnpke btwn Metropolitan Ave and 71st Rd,ROW Median,In Construction,1027358.64,197493.36,Queens,Combined,BB-006,Flushing Bay,4039060035,0,482,32,0,968,18,"17,418",,,,,,Public Onsite,In Construction
POINT (-73.90996231556113 40.65326637956197),151284,324e,GK26W3-03,3,ROW,EDC 26W-003 (Fresh Creek) Phase 3,ROWB,Constructed (Full Maintenance),1009233.22,177291.78,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,1000000000,0,317,42,58,13,4.5,58.5,Type A - Stone Columns,Magnolia virginiana,Sweetbay Magnolia,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.84360549752971 40.67822180437481),133505,35a,GK26W5-06,3,ROW,EDC 26W-005 Phase 3,ROWB,Constructed (Full Maintenance),1027629.34,186409.63,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4091630088,0,410,32,23,10,4.5,45,Standard,Prunus x yedoensis,Yoshino Cherry,53320022-03,3,Right of Way (ROW),Constructed
POINT (-73.80994615018271 40.67993696772684),120850,1266a,GQJA03-03,3,ROW,DDC JAM-003 Phase 3,ROWB,Constructed (Full Maintenance),1036964.1064,187052.9741,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4116560029,0,410,28,31,12,4.5,54,Standard,No Tree,N/A,GCJA03-3A,1,Right of Way (ROW),Constructed
POINT (-73.92496945952198 40.66295679868696),175955,IB2048i,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),1005066.0876,180818.34507,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3046140071,3046140070,317,41,58,20,6,120,Type C - SW Chamber,No Tree,N/A,GKCI05-2A,1,Right of Way (ROW),Constructed
POINT (-73.86311118415654 40.74277722500271),125088,4009-1b,GQBB06-01,1,ROW,DPR BB-006 Phase 1,ROWB,Constructed (Full Maintenance),1022182.2738,209920.037,Queens,Combined,BB-006,Flushing Bay,4018830038,0,404,21,39,10,5,50,Type A - Stone Columns,Quercus acutissima,Sawtooth Oak,GQBB06-01,5,Right of Way (ROW),Constructed
POINT (-73.85642443900993 40.68451071856771),114149,2130B,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROWB,Constructed (Full Maintenance),1024069.982,188694.772,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4090170003,0,409,32,38,12,5,60,Type D,No Tree,N/A,53320022-05,5,Right of Way (ROW),Constructed
POINT (-73.93250515342939 40.65002851664339),173408,6055D,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROWB,Constructed (Full Maintenance),1002979.05321,176106.51288,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3046950031,0,317,45,58,20,5.5,110,Type C - SW Chamber,Gleditsia triacanthos var. inermis,Thornless Common Honeylocust,GKCI05-1A,2,Right of Way (ROW),Constructed
POINT (-73.8218830645357 40.67449828871512),121348,2250a,GQJA03-03,3,ROW,DDC JAM-003 Phase 3,ROWB,Constructed (Full Maintenance),1033657.2694,185064.5536,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4117230037,0,410,28,31,16,5,80,Standard,Other (See notes),N/A,GCJA03-3B,2,Right of Way (ROW),Constructed
POINT (-73.92214917621611 40.74054463355445),141463,6110A,GQBB09-01,1,ROW,DDC BB Cluster (BB-009),ROWB,Constructed (Full Maintenance),1005823.41,209086.581,Queens,Combined,BB-009,Newtown Creek,4001750012,0,402,26,37,15,5,75,Standard,Quercus acutissima,Sawtooth Oak,GQBB09-01,Stage-2,Right of Way (ROW),Constructed
POINT (-73.99096776656965 40.72914432829471),189140,B-6,HWMP116,OA,ROW,Astor Pl. - Cooper Sq. (Village Plaza / Cooper Triange),ROWB,Constructed,986753.37047,204923.63388,Manhattan,Combined,NCM-052,East River / Open Waters,1005447501,0,103,2,0,20,10,200,Standard,Quercus acutissima,Sawtooth Oak,HWMP116,1,Right of Way (ROW),Constructed
POINT (-74.00685731428374 40.61731527945647),189349,PP5045,GKOH15-04,4,ROW,DDC OH15 Phase 4,ROW Porous Concrete,90% Design Submitted,982346.24,164181.06,Brooklyn,Combined,OH-015,East River / Open Waters,3062450001,0,311,38,0,170,4,680,,,,GKOH15-04,1,Right of Way (ROW),
POINT (-73.91528666781178 40.65660193184956),150534,26b,GK26W3-03,3,ROW,EDC 26W-003 (Fresh Creek) Phase 3,ROWB,Constructed (Full Maintenance),1007754.67,178505.54,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3046930071,0,317,41,58,20,4.5,90,Standard,Ginkgo biloba,Ginkgo Tree,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.78587828802597 40.745419173816856),102859,1368A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWB,Constructed (Full Maintenance),1043581.3377,210925.4591,Queens,Combined,TI-010,Flushing Creek,4056620024,0,411,20,25,13,4.5,58.5,Type A - Stone Columns,Quercus bicolor,Swamp White Oak,GCTI10-02,Package-2,Right of Way (ROW),Constructed
POINT (-73.82588393244782 40.74557654773817),188083,IB2091d,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1032496.01,210958.23,Queens,Combined,TI-010,Flushing Creek,4064010004,4064010005,407,20,0,12,5,60,Standard,No Tree,N/A,GCTI10-4A,Package-2,Right of Way (ROW),Constructed
POINT (-73.81836716986639 40.71843369495634),145135,363e,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROWRG,Constructed (Full Maintenance),1034599.34,201073.49,Queens,Combined,TI-010,Flushing Creek,4066330001,0,408,24,27,10,5,50,,No Tree,N/A,GCTI10-4B,Package-1,Right of Way (ROW),Constructed
POINT (-73.85253647565064 40.741640065494096),154695,1062a,OGI-DESIGN-3,1,ROW,OGI Design Area 3 (BB-008),ROWB,Constructed (Full Maintenance),1025113.25,209510.49,Queens,Combined,BB-008,Flushing Bay,4020110042,0,404,21,39,13,4.5,58.5,Type A - Stone Columns,No Tree,N/A,GQBB09-01,Work-Order-4,Right of Way (ROW),Constructed
POINT (-73.85902592657183 40.73616202172497),122935,4120,GQBB06-01,1,ROW,DPR BB-006 Phase 1,ROWB,Constructed (Full Maintenance),1023318.18777,207511.70753,Queens,Combined,BB-006,Flushing Bay,4019180084,0,404,21,35,20,5,100,Type A - Stone Columns,Gymnocladus dioicus,Kentucky Coffeetree,GQBB06-01,5,Right of Way (ROW),Constructed
POINT (-73.8970825912933 40.67177343223076),118155,261,GK26W3-03,2,ROW,EDC 26W-003 (Fresh Creek) Phase 2,ROWB,Constructed (Full Maintenance),1012799.1,184038.35,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3037190001,0,305,37,55,20,5,100,Type A - Stone Columns,Transplant,N/A,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.82592066201815 40.74577373172886),188081,IB2091b,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1032485.69,211030.05,Queens,Combined,TI-010,Flushing Creek,4064010006,0,407,20,0,10,5,50,Standard,No Tree,N/A,GCTI10-4A,Package-2,Right of Way (ROW),Constructed
POINT (-73.91325833114719 40.65936944366548),161090,K183-03SRa,GK26W3-03-OS4,3,Onsite,P.S. 183 / 446 K,Subsurface Pipe,Constructed,1008316.456,179514.372,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3035970011,0,316,41,55,0,0,"1,322",,No Tree,N/A,B3140-06,1,Public Onsite,Constructed
POINT (-73.86934731701656 40.86223618183823),183329,IB5061F,GXHP07-02,1,ROW,EDC HP-007 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1020389.30993,253440.44986,Bronx,Combined,HP-007,Bronx River,2044250001,0,211,15,80,20,4.5,90,Type C - SW Chamber,No Tree,N/A,GXHP07-02,1,Right of Way (ROW),Constructed
POINT (-73.97643989576828 40.60654963013388),183471,GS10-1A,GI-NYR,3,ROW,Gravesend,ROWGS,Constructed (Full Maintenance),990791.9223,160259.659,Brooklyn,Combined,OH-021,Coney Island Creek,3066290043,0,311,44,47,13,3.5,45.5,,No Tree,N/A,GI-NYR-3,1,Right of Way (ROW),Constructed
POINT (-73.93298754096078 40.70060399628875),119305,306e,GKNC15-02,4,ROW,EDC NCB-015 (English Kills) Phase 4,ROWB,Constructed (Full Maintenance),1002831.1,194532.5,Brooklyn,Combined,NCB-015,Newtown Creek,3031530007,0,304,34,53,15,5,75,Standard,Transplant,N/A,GKNC15-02,Phase-4-Stage-1,Right of Way (ROW),Constructed
POINT (-73.85947167989616 40.73701230648131),125209,4121c,GQBB06-01,1,ROW,DPR BB-006 Phase 1,ROWB,Constructed (Full Maintenance),1023194.1593,207821.29406,Queens,Combined,BB-006,Flushing Bay,4019180083,0,404,21,35,12,5,60,Type A - Stone Columns,Gymnocladus dioicus,Kentucky Coffeetree,GQBB06-01,5,Right of Way (ROW),Constructed
POINT (-73.83937458607889 40.672956018357105),189155,B-10,HWQ411B,OA,ROW,Albert Rd,ROWB,Constructed (Full Maintenance),1028806.39,184493.28,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4115160231,0,410,32,0,20,5,100,Type C - SW Chamber,No Tree,N/A,HWQ411B,1,Right of Way (ROW),Constructed
POINT (-73.90801661709115 40.640954141429496),174245,IB3069E,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROW Infiltration Basin with Concrete Top,In Construction,1009777.8131,172806.6573,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3080100031,0,318,46,59,11,4.5,49.5,Standard,No Tree,N/A,GKCI05-3A,1,Right of Way (ROW),In Construction
POINT (-73.91646337911169 40.6690592081377),132889,316A,GK26W3-03,1,ROW,EDC 26W-003 (Fresh Creek) Phase 1,ROWB,Constructed (Full Maintenance),1007423.85,183043.76,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3034930020,0,316,41,55,20,5,100,Type A - Stone Columns,Quercus bicolor,Swamp White Oak,GK26W3-03,2,Right of Way (ROW),Constructed
POINT (-73.78301891223202 40.74851772347018),186801,IB1347A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1044370.84897,212056.30632,Queens,Combined,TI-010,Flushing Creek,4056510015,0,411,20,0,18,4.5,81,Type A - Stone Columns,No Tree,N/A,GCTI10-02,Package-2,Right of Way (ROW),Constructed
POINT (-73.86860828099 40.68899645215578),112742,1144C,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROWB,Constructed (Full Maintenance),1020688.404,190323.75,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3041110087,0,305,37,54,13,4,52,Type C - SW Chamber,No Tree,N/A,53320022-02,2,Right of Way (ROW),Constructed
POINT (-73.92812729570173 40.73843630591962),141571,6159A,GQBB09-01,1,ROW,DDC BB Cluster (BB-009),ROWB,Constructed (Full Maintenance),1004167.431,208317.035,Queens,Combined,BB-009,Newtown Creek,4002310003,0,402,26,37,10,5,50,Standard,No Tree,N/A,GQBB09-01,Stage-1,Right of Way (ROW),Constructed
POINT (-73.83114147977541 40.70139723468618),148391,G-84,GQJA03-01,1,ROW,DDC JAM-003 Phase 1,ROWB,Constructed (Full Maintenance),1031070.22,194859.52,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4092730048,0,409,29,24,13,5,65,Standard,Quercus bicolor,Swamp White Oak,GCJAM-01,Stage-2,Right of Way (ROW),Constructed
POINT (-73.91785192572894 40.68789125783748),149714,019b,GKNC15-02,3,ROW,EDC NCB-015 (English Kills) Phase 3,ROWB,Constructed (Full Maintenance),1007032.22,189904.45,Brooklyn,Combined,NCB-015,Newtown Creek,3033730053,0,304,37,54,10,4,40,Type A - Stone Columns,Other (See notes),N/A,GKNC15-02,Phase-3-Stage-1,Right of Way (ROW),Constructed
POINT (-73.93059812074254 40.68256872663432),156869,81d,GKNC15-02,2,ROW,EDC NCB-015 (English Kills) Phase 2,ROWB,Constructed (Full Maintenance),1003498.84,187962.24,Brooklyn,Combined,NCB-015,Newtown Creek,3016710019,0,303,36,56,10,4.5,45,Type A - Stone Columns,No Tree,N/A,GKNC15-02,Phase-2-Stage-1,Right of Way (ROW),Constructed
POINT (-73.90136070212522 40.74151132349177),182839,IB733A,GQBB05-02,2,ROW,OGI BB-005 (GI-DCM-TOC) Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1011583.75,209444.58,Queens,Combined,BB-005,East River / Open Waters,4013410077,0,402,26,30,13,5,65,Type B/C - Stormwater Inlet/SW Chamber,No Tree,N/A,BB05-01-A,1,Right of Way (ROW),Constructed
POINT (-73.85483830239235 40.739879703382485),154543,998b,OGI-DESIGN-3,1,ROW,OGI Design Area 3 (BB-008),ROWB,Constructed (Full Maintenance),1024476.46,208868.07,Queens,Combined,BB-008,Flushing Bay,4019520032,0,404,21,39,10,4,40,Standard,No Tree,N/A,GQBB09-01,Work-Order-4,Right of Way (ROW),Constructed
